Date;hour;Spot DE.AT_price;day
20150110;16;11.34;7
20150110;17;14.15;7
20150110;18;17.09;7
20150110;19;18.87;7
20150110;20;13.44;7
20150110;21;15.82;7
20150110;22;11.51;7
20150110;23;11.81;7
20150110;24;5.08;7
20150111;1;0.05;1
20150111;2;-2.06;1
20150111;3;-4.11;1
20150111;4;-5.06;1
20150111;5;-4.12;1
20150111;6;-0.74;1
20150111;7;-25.02;1
20150111;8;-16.94;1
20150111;9;-6.86;1
20150111;10;1.53;1
20150111;11;5.61;1
20150111;12;9.91;1
20150111;13;8.71;1
20150111;14;-0.09;1
20150111;15;-0.07;1
20150111;16;-1.8;1
20150111;17;0.61;1
20150111;18;13.51;1
20150111;19;11.44;1
20150111;20;14.88;1
20150111;21;9.63;1
20150111;22;9.29;1
20150111;23;10.18;1
20150111;24;-2;1
20150112;1;9.3;2
20150112;2;2.87;2
20150112;3;0.09;2
20150112;4;0.26;2
20150112;5;2.83;2
20150112;6;10.4;2
20150112;7;20.03;2
20150112;8;44.95;2
20150112;9;44.92;2
20150112;10;36.33;2
20150112;11;30.41;2
20150112;12;30.07;2
20150112;13;29.33;2
20150112;14;29.39;2
20150112;15;28.98;2
20150112;16;29.49;2
20150112;17;28.99;2
20150112;18;34.41;2
20150112;19;31.69;2
20150112;20;29.59;2
20150112;21;27.61;2
20150112;22;15.55;2
20150112;23;14.91;2
20150112;24;9.1;2
20150113;1;9.27;3
20150113;2;10.42;3
20150113;3;11.16;3
20150113;4;10.71;3
20150113;5;11.26;3
20150113;6;11.69;3
20150113;7;21.05;3
20150113;8;32.37;3
20150113;9;34.21;3
20150113;10;28.47;3
20150113;11;26.07;3
20150113;12;23.74;3
20150113;13;23.73;3
20150113;14;23.76;3
20150113;15;25.62;3
20150113;16;28.91;3
20150113;17;34.13;3
20150113;18;42.16;3
20150113;19;41.99;3
20150113;20;37.91;3
20150113;21;31.41;3
20150113;22;29.91;3
20150113;23;27.02;3
20150113;24;18.36;3
20150114;1;13.25;4
20150114;2;15.02;4
20150114;3;11.99;4
20150114;4;13.68;4
20150114;5;13.91;4
20150114;6;16.26;4
20150114;7;27.32;4
20150114;8;31.62;4
20150114;9;34.74;4
20150114;10;32.41;4
20150114;11;29.71;4
20150114;12;30.32;4
20150114;13;29.7;4
20150114;14;29.28;4
20150114;15;30.63;4
20150114;16;35.61;4
20150114;17;37.8;4
20150114;18;44.69;4
20150114;19;43.23;4
20150114;20;34.51;4
20150114;21;29.44;4
20150114;22;27.96;4
20150114;23;23.73;4
20150114;24;16.29;4
20150115;1;24.36;5
20150115;2;21.59;5
20150115;3;15.46;5
20150115;4;15.44;5
20150115;5;15.43;5
